1000	0.251	0.229	0.293
1500	0.387	0.312	0.458
2000	0.441	0.419	0.62
2500	0.588	0.536	0.798
3000	0.665	0.65	1.003
3500	0.782	0.786	1.293
4000	0.973	0.947	1.357
4500	1.112	1.026	1.541
5000	1.272	1.128	1.705
5500	1.261	1.287	1.925
6000	1.41	1.379	2.101
6500	1.716	1.504	2.287
7000	1.649	1.618	2.469
7500	1.754	1.772	2.733
8000	1.93	1.892	2.953
8500	2.087	2.019	3.076
9000	2.151	2.2	3.234
9500	2.264	5.126	6.01
10000	3.429	2.751	4.315
