1000	0.012	5.851	2.991
1500	0.01	19.574	6.527
2000	0.012	23.291	11.837
2500	0.016	35.974	18.233
3000	0.018	53.372	26.296
3500	0.021	74.026	45.784
4000	0.025	103.218	46.254
4500	0.028	116.92	59.557
5000	0.029	149.152	77.173
5500	0.034	175.662	93.608
6000	0.036	208.692	110.761
6500	0.038	259.51	127.598
7000	0.041	303.14	144.295
7500	0.044	325.209	164.498
8000	0.048	377.906	185.267
8500	0.051	422.514	210.099
9000	0.054	472.248	235.165
9500	0.057	527.851	261.256
10000	0.059	587.02	289.612
