1000	 0.035	 9.408	4.137
1500	 0.012	 18.387	8.264
2000	 0.014	 24.101	11.797
2500	 0.023	 36.555	18.129
3000	 0.018	 52.524	27.693
3500	 0.021	 71.386	35.744
4000	 0.025	 93.706	45.747
4500	 0.028	 117.835	58.738
5000	 0.03	 154.887	80.447
5500	 0.034	 185.524	94.932
6000	 0.037	 209.817	105.794
6500	 0.038	 245.416	122.723
7000	 0.042	 300.505	142.425
7500	 0.045	 327.094	169.919
8000	 0.048	 373.451	192.308
8500	 0.051	 423.341	211.44
9000	 0.053	 491.98	235.173
9500	 0.057	 545.102	269.099
10000	 0.06	 600.472	312.488
